lhs_size,rhs_size,naive_time_us,fft_time_us
300,300,1141,429
300,300,938,314
300,300,1496,463
300,300,937,405
300,300,976,399
300,300,927,322
300,300,945,362
300,300,996,364
300,300,900,315
300,300,1074,484
300,300,917,354
300,300,932,408
300,300,1371,561
300,300,934,315
300,300,925,318
300,300,917,315
300,300,928,316
300,300,949,414
300,300,937,323
300,300,923,310
300,300,948,408
300,300,991,314
300,300,889,315
300,300,867,327
300,300,931,323
300,300,938,317
300,300,931,322
300,300,946,316
300,300,922,372
300,300,932,320
300,300,950,349
300,300,1001,316
300,300,940,318
300,300,1031,373
300,300,1076,460
300,300,938,427
300,300,1163,433
300,300,1082,484
300,300,925,353
300,300,1530,473
300,300,1196,325
300,300,951,394
300,300,882,376
300,300,2032,433
300,300,935,324
300,300,1286,434
300,300,965,317
300,300,936,317
300,300,922,316
300,300,933,325
300,300,1277,440
300,300,938,315
300,300,942,325
300,300,1523,418
300,300,1183,406
300,300,1039,314
300,300,913,316
300,300,940,315
300,300,1342,350
300,300,969,338
300,300,1047,328
300,300,1145,485
300,300,923,315
300,300,915,314
300,300,1038,314
300,300,893,314
300,300,983,314
300,300,902,323
300,300,932,315
300,300,1793,424
300,300,898,317
300,300,936,316
300,300,923,316
300,300,941,352
300,300,882,457
300,300,936,315
300,300,1002,312
300,300,945,318
300,300,919,315
300,300,970,316
300,300,1683,435
300,300,953,318
300,300,915,313
300,300,923,329
300,300,1272,314
300,300,1295,451
300,300,925,540
300,300,913,315
300,300,912,315
300,300,1333,457
300,300,867,382
300,300,1274,431
300,300,1432,461
300,300,916,328
300,300,920,312
300,300,918,312
300,300,1171,377
300,300,1045,341
300,300,946,358
300,300,1114,342
300,300,1273,315
300,300,912,333
300,300,1081,482
300,300,1285,313
300,300,1220,515
300,300,1041,314
300,300,1544,465
300,300,970,350
300,300,939,316
300,300,1341,315
300,300,1476,362
300,300,1686,430
300,300,1597,423
300,300,2114,460
300,300,870,313
300,300,2011,403
300,300,2093,409
300,300,1652,423
300,300,1313,506
300,300,2190,747
300,300,1040,644
300,300,933,315
300,300,1091,403
300,300,1686,444
300,300,1882,424
300,300,2458,429
300,300,1473,538
300,300,919,325
300,300,924,316
300,300,1389,450
300,300,952,346
300,300,937,320
300,300,870,375
300,300,928,318
300,300,915,323
300,300,1357,461
300,300,1145,415
300,300,968,493
300,400,1255,329
300,400,1889,329
300,400,2093,413
300,400,2014,557
300,400,2194,542
300,400,1358,324
300,400,2850,710
300,400,2771,435
300,400,2661,501
300,400,2677,514
300,400,2753,427
300,400,2329,439
300,400,1323,439
300,400,1351,474
300,400,1247,478
300,400,1222,320
300,400,2644,501
300,400,2037,460
400,400,1628,381
400,400,3103,522
400,400,2564,506
400,400,2268,487
400,400,2026,637
400,400,2155,478
400,400,1643,351
400,400,1622,338
400,400,1629,341
400,400,1602,339
400,400,1600,356
400,400,1601,350
400,400,1568,340
400,400,1681,477
400,400,1660,322
400,400,2386,353
400,400,2536,508
400,400,1614,323
400,400,1623,324
400,400,1590,319
400,400,3550,501
400,400,2149,473
400,400,1600,323
400,400,1861,577
400,400,1559,322
400,400,1597,369
400,400,1595,350
400,400,1626,350
400,400,1841,429
400,400,1999,455
400,400,1631,324
400,400,2244,323
400,400,1663,322
400,400,1592,324
400,400,1586,344
400,400,1604,323
400,400,1587,337
400,400,1588,339
400,400,1585,323
400,400,1598,324
400,400,1607,366
400,400,1591,321
400,400,1602,324
400,400,2744,399
400,400,1834,345
400,400,1856,476
400,400,1699,459
400,400,1542,541
400,400,1685,329
400,400,1846,319
400,400,2040,625
400,400,1640,331
400,400,1646,323
400,400,2303,441
400,400,1846,323
400,400,1638,317
400,400,1621,354
400,400,1832,436
400,400,1937,443
400,400,1583,318
400,400,2059,341
400,400,1581,319
400,400,2306,487
400,400,1646,322
400,400,1597,319
400,400,1748,323
400,400,1610,323
400,400,2010,472
400,400,1586,323
400,400,1565,357
400,400,1876,319
